,Name,Rating,Score,Release,Budget,Open,Gross
0,Mad Max: Fury Road,R,97.0,2015-05-15,150000000.0,5079641.0,153636354.0
1,Metropolis,PG13,99.0,1927-03-13,,19978.0,26435.0
2,Wonder Woman,PG13,92.0,2017-06-02,149000000.0,,412563408.0
3,Dunkirk,PG13,92.0,2017-07-21,100000000.0,7729580.50586058,188043731.0
4,King Kong,G,98.0,2005-12-14,207000000.0,,218080025.0
5,Logan,R,93.0,2017-03-03,97000000.0,8822384.259996813,226277068.0
6,The Adventures of Robin Hood,PG,100.0,1938-05-14,1900000.0,,3981000.0
7,Zootopia,PG,98.0,2016-03-04,150000000.0,2549312.4432334243,341268248.0
8,Star Wars: Episode VII - The Force Awakens,PG13,93.0,2015-12-18,245000000.0,22805316.48115864,936662225.0
9,Baby Driver,R,93.0,2017-06-28,34000000.0,20553320.0,107825862.0
10,Seven Samurai ,G,100.0,1956-11-19,2000000.0,21830.0,269061.0
11,Up,PG,98.0,2009-05-29,175000000.0,3875013.0,293004164.0
12,The Treasure of the Sierra Madre,NR,100.0,1948-01-24,3000000.0,,5014000.0
13,Lawrence of Arabia,PG,98.0,1962-12-11,15000000.0,32930.0,44824144.0
14,The Jungle Book,PG,95.0,2016-04-15,175000000.0,103261464.0,364001123.0
15,The Dark Knight,PG13,94.0,2008-07-18,185000000.0,4467543.087180777,534858444.0
16,War for the Planet of the Apes,PG13,93.0,2017-07-14,150000000.0,56262929.0,146880162.0
17,Thor: Ragnarok,PG13,92.0,2017-11-03,180000000.0,,281747599.0
18,Spider-Man: Homecoming,PG13,92.0,2017-07-07,175000000.0,16871.813493955022,334201140.0
19,The African Queen,PG,100.0,1952-03-21,1000000.0,,536118.0
20,Skyfall,PG13,93.0,2012-11-09,200000000.0,3478201.5651907045,304360277.0
21,The 39 Steps,NR,98.0,1935-08-01,,,
22,Apocalypse Now,R,98.0,1979-08-15,31500000.0,96992.0,83471511.0
23,Jaws,PG,97.0,1975-06-20,8000000.0,7061513.0,260000000.0
24,Harry Potter and the Deathly Hallows - Part 2,PG13,96.0,2011-07-15,125000000.0,169189427.0,381011219.0
25,Captain America: Civil War,PG13,91.0,2016-05-06,250000000.0,4148948.4283337714,408084349.0
26,WALL-E,G,96.0,2008-06-27,180000000.0,,223808164.0
27,Moana,PG,96.0,2016-11-23,150000000.0,56631401.0,248757044.0
28,The LEGO Movie,PG,96.0,2014-02-07,60000000.0,,257760692.0
29,The Hurt Locker,R,97.0,2009-07-31,15000000.0,33747.461306814206,17017811.0
30,Coco,PG,97.0,2017-11-21,,50802605.0,82575404.0
31,The Searchers,PG,100.0,1956-05-26,3750000.0,,
32,Star Trek,PG13,94.0,1966-09-08,200000.0,,
33,The Terminator,R,100.0,1984-10-26,6400000.0,4020663.0,38400000.0
34,Star Wars: Episode IV - A New Hope,PG,93.0,1977-05-25,11000000.0,35906661.0,322740140.0
35,Kubo and the Two Strings,PG,97.0,2016-08-19,60000000.0,12608372.0,48023088.0
36,Marvel's The Avengers,PG13,92.0,2012-05-04,220000000.0,2059539.4120951134,623357910.0
37,The French Connection,R,98.0,1971-10-09,1800000.0,,
38,Mission: Impossible Rogue Nation,PG13,93.0,2015-07-31,150000000.0,55520089.0,195042377.0
39,Iron Man,PG13,94.0,2008-05-02,140000000.0,98618668.0,318412101.0
40,Aliens,R,98.0,1986-07-18,18500000.0,10052042.0,85160248.0
41,Once Upon a Time in the West,PG13,98.0,1969-07-04,5000000.0,,5321508.0
42,Throne of Blood,NR,98.0,1961-11-22,,,
43,Hunt for the Wilderpeople,NR,97.0,2016-03-31,,1263035.0,5202582.0
44,Badlands,PG,98.0,2015-11-15,,,
45,Aguirre the Wrath of God ,R,98.0,1977-04-03,370000.0,,
46,The Lego Batman Movie,PG,91.0,2017-02-10,80000000.0,1114812.20657277,175750384.0
47,Star Wars: Episode V - The Empire Strikes Back,PG,94.0,1980-06-20,18000000.0,,290475067.0
48,Spartacus,PG13,96.0,2010-01-22,,,
49,The Lord of the Rings: The Two Towers,PG13,96.0,2002-12-18,94000000.0,1670389.0,342551365.0
50,Chicken Run,G,97.0,2000-06-23,45000000.0,17506162.0,106834564.0
51,Guardians of the Galaxy,PG13,91.0,2014-08-01,170000000.0,,333176600.0
52,X-Men: Days of Future Past,PG13,91.0,2014-05-23,200000000.0,,233921534.0
53,Ghostbusters ,PG,97.0,2010-11-06,6000.0,,
54,True Grit,PG13,95.0,2010-12-22,38000000.0,953614.315291334,171243005.0
55,Blade Runner 2049,R,87.0,2017-10-06,150000000.0,,90383762.0
56,The Princess Bride,PG,97.0,1987-10-09,16000000.0,206243.0,30857814.0
57,Casino Royale,PG13,94.0,2006-11-17,150000000.0,7061136.987748205,167445960.0
58,The Wild Bunch,R,96.0,1969-08-07,6244087.0,,
59,All Is Lost,PG13,94.0,2013-11-07,9000000.0,93583.0,6263670.0
60,Ran,R,96.0,1985-06-01,11500000.0,11462.0,3522421.0
61,Back to the Future,PG,96.0,1985-07-03,19000000.0,11332134.0,210609762.0
62,Looper,R,93.0,2012-09-28,30000000.0,1505079.3454004463,66486205.0
63,Sicario,R,93.0,2015-10-02,30000000.0,12148041.0,46889293.0
64,No Country for Old Men,R,93.0,2007-11-21,25000000.0,1226333.0,74283625.0
65,A Fistful of Dollars ,R,98.0,1967-01-18,200000.0,,14500000.0
66,Gojira,NR,93.0,2014-05-16,160000000.0,,200676069.0
67,Who Framed Roger Rabbit,PG,97.0,1988-06-22,70000000.0,1034663.1553160215,156452370.0
68,Embrace Of The Serpent ,NR,97.0,2015-05-25,1400000.0,50955.0,1329249.0
69,Mad Max 2: The Road Warrior,R,98.0,1982-05-21,2000000.0,800926.4511249763,12465371.0
70,The Right Stuff,PG,98.0,1984-02-17,27000000.0,1601167.0,21500000.0
71,Close Encounters of the Third Kind,PG,96.0,1977-12-14,20000000.0,,132088635.0
72,Babe,G,97.0,1995-08-04,30000000.0,8742545.0,66600000.0
73,Paths of Glory,G,94.0,1957-11-01,935000.0,,
74,Crouching Tiger Hidden Dragon,PG13,97.0,2001-01-12,17000000.0,988961.8081819464,128078872.0
75,Diva,R,98.0,2009-07-12,,,
76,The Bourne Ultimatum,PG13,93.0,2007-08-03,110000000.0,69283690.0,227471070.0
77,The Bridge on the River Kwai,PG,94.0,1957-12-14,3000000.0,,44908000.0
78,The Lord of the Rings: The Return of the King,PG13,94.0,2003-12-17,94000000.0,1764458.0,377845905.0
79,Dawn Of The Planet Of The Apes,PG13,90.0,2014-07-11,170000000.0,72611427.0,208545589.0
80,Goldfinger,PG,96.0,1965-01-09,3000000.0,,51081062.0
81,Catch Me If You Can,PG13,96.0,2002-12-25,52000000.0,30082000.0,164615351.0
