,Name,Rating,Score,Release,Budget,Open,Gross,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
0,Mad Max: Fury Road,R,97.0,2015-05-15,150000000.0,5079641.0,153636354.0,2010,3636354.0,156108422.60259813,159892859.18236247,5286498.292649894,3784436.579764321
3,Dunkirk,PG13,92.0,2017-07-21,100000000.0,7729580.50586058,188043731.0,2010,88043731.0,100684549.5045779,189330983.4289503,7782493.310919398,88646433.9243724
5,Logan,R,93.0,2017-03-03,97000000.0,8822384.259996813,226277068.0,2010,129277068.0,97664013.01944056,227826046.5479674,8882777.84774058,130162033.52852683
7,Zootopia,PG,98.0,2016-03-04,150000000.0,2549312.4432334243,341268248.0,2010,191268248.0,154160845.20372105,350734677.0191539,2620027.739581519,196573831.81543285
8,Star Wars: Episode VII - The Force Awakens,PG13,93.0,2015-12-18,245000000.0,22805316.48115864,936662225.0,2010,691662225.0,254977090.25091028,974805749.7079325,23734013.218844727,719828659.4570221
9,Baby Driver,R,93.0,2017-06-28,34000000.0,20553320.0,107825862.0,2010,73825862.0,34232746.831556484,108563983.40412785,20694017.650234308,74331236.57257137
10,Seven Samurai ,G,100.0,1956-11-19,2000000.0,21830.0,269061.0,1950,-1730939.0,18148546.90596549,2441533.08953299,198091.3894786133,-15707013.816432498
11,Up,PG,98.0,2009-05-29,175000000.0,3875013.0,293004164.0,2000,118004164.0,201210397.27412987,336888481.3795103,4455388.029556673,135678084.10538042
13,Lawrence of Arabia,PG,98.0,1962-12-11,15000000.0,32930.0,44824144.0,1960,29824144.0,122315206.61157025,365511628.96978515,268522.65024793387,243196422.35821488
14,The Jungle Book,PG,95.0,2016-04-15,175000000.0,103261464.0,364001123.0,2010,189001123.0,179854319.40434122,374098138.5118908,106125830.44809076,194243819.1075496
15,The Dark Knight,PG13,94.0,2008-07-18,185000000.0,4467543.087180777,534858444.0,2000,349858444.0,211957683.21326628,612796522.3637434,5118540.986023141,400838839.1504772
16,War for the Planet of the Apes,PG13,93.0,2017-07-14,150000000.0,56262929.0,146880162.0,2010,-3119838.0,151026824.25686684,147885629.4212942,56648076.60173052,-3141194.835572633
18,Spider-Man: Homecoming,PG13,92.0,2017-07-07,175000000.0,16871.813493955022,334201140.0,2010,159201140.0,176197961.6330113,336488912.2481637,16987.3094096412,160290950.6151524
20,Skyfall,PG13,93.0,2012-11-09,200000000.0,3478201.5651907045,304360277.0,2010,104360277.0,214874940.0065224,326996981.3037177,3736891.7632547244,112122041.29719529
22,Apocalypse Now,R,98.0,1979-08-15,31500000.0,96992.0,83471511.0,1970,51971511.0,107062673.09679641,283704225.2409094,329657.8663176025,176641552.144113
23,Jaws,PG,97.0,1975-06-20,8000000.0,7061513.0,260000000.0,1970,252000000.0,36668045.83235256,1191711489.5514581,32366485.291219175,1155043443.7191055
24,Harry Potter and the Deathly Hallows - Part 2,PG13,96.0,2011-07-15,125000000.0,169189427.0,381011219.0,2010,256011219.0,137075394.4381888,417818105.03840107,185533659.5263692,280742710.6002123
25,Captain America: Civil War,PG13,91.0,2016-05-06,250000000.0,4148948.4283337714,408084349.0,2010,158084349.0,256934742.00620174,419404187.70833516,4264035.976123895,162469445.70213345
