,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre: Thriller,Genre:  Romance,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre: Animation,Genre:  Sci-Fi,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: History,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R
0,Claudio Fäh,Bastian Zach,Matthias Bauer,James Norton,Charlie Murphy,Ryan Kwanten,James Norton,Charlie Murphy,Ryan Kwanten,Ed Skrein,,Claudio F�h,,5.4,50.0,7736,,0,0,1,0,2014-09-27,97.0,Northmen - A Viking Saga,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Jean-Baptiste Léonetti,Stephen Susco,Robb White,Michael Douglas,Jeremy Irvine,Martin Palmer,Michael Douglas,Jeremy Irvine,Hanna Mangan Lawrence,Ronny Cox,,Jean-Baptiste L�onetti,44577.0,5.6,34.0,8002,,0,0,0,0,2014-09-06,91.0,Beyond the Reach,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Victor Sjöström,Selma Lagerlöf,Victor Sjöström,Victor Sjöström,Hilda Borgström,Tore Svennberg,Victor Sjöström,Hilda Borgström,Tore Svennberg,Astrid Holm,,Victor Sj�str�m,,8.1,nan,7776,,0,0,0,0,1921-01-01,100.0,K�rkarlen,1921-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Ronald Neame,Charles Dickens,Leslie Bricusse,Albert Finney,Alec Guinness,Edith Evans,Albert Finney,Edith Evans,Kenneth More,Laurence Naismith,,Ronald Neame,,7.5,nan,7555,,4,0,6,1,1970-11-05,113.0,Scrooge,1970-01-01,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Joe Dante,Alan Trezza,Anton Yelchin,Ashley Greene,Alexandra Daddario,Anton Yelchin,Ashley Greene,Alexandra Daddario,Oliver Cooper,Dick Miller,,Joe Dante,,5.4,37.0,8139,,0,0,1,2,2014-09-04,89.0,Burying the Ex,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Cédric Jimenez,Audrey Diwan,Cédric Jimenez,Jean Dujardin,Gilles Lellouche,Céline Sallette,Jean Dujardin,Gilles Lellouche,Céline Sallette,Mélanie Doutey,26000000.0,C�dric Jimenez,,7.1,67.0,8104,,0,0,5,2,2014-09-10,135.0,La French,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,David M. Rosenthal,Alan B. McElroy,Tyger Williams,Sanaa Lathan,Michael Ealy,Morris Chestnut,Sanaa Lathan,Michael Ealy,Morris Chestnut,L. Scott Caldwell,12000000.0,David M. Rosenthal,57017904.0,5.6,36.0,8184,,0,0,3,2,2015-09-02,100.0,The Perfect Guy,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shiraz Ahmed,Shiraz Ahmed,Akshay Kumar,Kareena Kapoor Khan,Priyanka Chopra,Akshay Kumar,Kareena Kapoor Khan,Priyanka Chopra,,Abbas Alibhai Burmawalla Mastan Alibhai Burmawalla,6185889.0,6.8,nan,8183,,0,0,12,5,2004-11-12,160.0,Aitraaz,2004-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Louis Clichy,Alexandre Astier,René Goscinny,Albert Uderzo,Roger Carel,Lorànt Deutsch,Laurent Lafitte,Roger Carel,Lorànt Deutsch,Laurent Lafitte,23994241.382068302,Alexandre Astier Louis Clichy,44383784.0,6.9,nan,8085,,0,0,2,0,2014-11-26,85.0,Ast�rix: Le domaine des dieux,2014-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Richard LaGravenese,Jason Robert Brown,Richard LaGravenese,Anna Kendrick,Jeremy Jordan,Tamara Mintz,Anna Kendrick,Jeremy Jordan,Tamara Mintz,Cassandra Inman,2000000.0,Richard LaGravenese,137945.0,5.9,60.0,7818,,0,0,1,1,2014-09-07,94.0,The Last Five Years,2014-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
