,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
8001,Claudio Fäh,Bastian Zach,Matthias Bauer,James Norton,Charlie Murphy,Ryan Kwanten,James Norton,Charlie Murphy,Ryan Kwanten,Ed Skrein,,R,Claudio F�h,"Action, Adventure",,5.4,50.0,7736,,0,0,1,0,2014-09-27,97.0,Northmen - A Viking Saga,http://www.imdb.com/title/tt2290553/,2014
8002,Jean-Baptiste Léonetti,Stephen Susco,Robb White,Michael Douglas,Jeremy Irvine,Martin Palmer,Michael Douglas,Jeremy Irvine,Hanna Mangan Lawrence,Ronny Cox,,R,Jean-Baptiste L�onetti,Thriller,"$44,577,",5.6,34.0,8002,,0,0,0,0,2014-09-06,91.0,Beyond the Reach,http://www.imdb.com/title/tt2911668/,2014
8003,Victor Sjöström,Selma Lagerlöf,Victor Sjöström,Victor Sjöström,Hilda Borgström,Tore Svennberg,Victor Sjöström,Hilda Borgström,Tore Svennberg,Astrid Holm,,NOT RATED,Victor Sj�str�m,"Drama, Fantasy, Horror",,8.1,,7776,,0,0,0,0,1921-01-01,100.0,K�rkarlen,http://www.imdb.com/title/tt0012364/,1921
8004,Ronald Neame,Charles Dickens,Leslie Bricusse,Albert Finney,Alec Guinness,Edith Evans,Albert Finney,Edith Evans,Kenneth More,Laurence Naismith,,G,Ronald Neame,"Drama, Family, Fantasy, Musical, Romance, Thriller",,7.5,,7555,,4,0,6,1,1970-11-05,113.0,Scrooge,http://www.imdb.com/title/tt0066344/,1970
8005,Joe Dante,Alan Trezza,Anton Yelchin,Ashley Greene,Alexandra Daddario,Anton Yelchin,Ashley Greene,Alexandra Daddario,Oliver Cooper,Dick Miller,,R,Joe Dante,"Comedy, Horror, Romance",,5.4,37.0,8139,,0,0,1,2,2014-09-04,89.0,Burying the Ex,http://www.imdb.com/title/tt3339674/,2014
8006,Cédric Jimenez,Audrey Diwan,Cédric Jimenez,Jean Dujardin,Gilles Lellouche,Céline Sallette,Jean Dujardin,Gilles Lellouche,Céline Sallette,Mélanie Doutey,"$26,000,000",R,C�dric Jimenez,"Action, Crime, Thriller",,7.1,67.0,8104,,0,0,5,2,2014-09-10,135.0,La French,http://www.imdb.com/title/tt2935564/,2014
8007,David M. Rosenthal,Alan B. McElroy,Tyger Williams,Sanaa Lathan,Michael Ealy,Morris Chestnut,Sanaa Lathan,Michael Ealy,Morris Chestnut,L. Scott Caldwell,"$12,000,000",PG-13,David M. Rosenthal,"Drama, Thriller","$57,017,904,",5.6,36.0,8184,,0,0,3,2,2015-09-02,100.0,The Perfect Guy,http://www.imdb.com/title/tt3862750/,2015
8008,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shiraz Ahmed,Shiraz Ahmed,Akshay Kumar,Kareena Kapoor Khan,Priyanka Chopra,Akshay Kumar,Kareena Kapoor Khan,Priyanka Chopra,,NOT RATED,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Drama, Romance, Thriller","$6,185,889",6.8,,8183,,0,0,12,5,2004-11-12,160.0,Aitraaz,http://www.imdb.com/title/tt0418460/,2004
8009,Louis Clichy,Alexandre Astier,René Goscinny,Albert Uderzo,Roger Carel,Lorànt Deutsch,Laurent Lafitte,Roger Carel,Lorànt Deutsch,Laurent Lafitte,"€30,000,000",NR,"Alexandre Astier, Louis Clichy","Animation, Adventure, Comedy, Family","$44,383,784",6.9,,8085,,0,0,2,0,2014-11-26,85.0,Ast�rix: Le domaine des dieux,http://www.imdb.com/title/tt3759416/,2014
8010,Richard LaGravenese,Jason Robert Brown,Richard LaGravenese,Anna Kendrick,Jeremy Jordan,Tamara Mintz,Anna Kendrick,Jeremy Jordan,Tamara Mintz,Cassandra Inman,"$2,000,000",PG-13,Richard LaGravenese,"Comedy, Drama, Musical, Romance","$137,945,",5.9,60.0,7818,,0,0,1,1,2014-09-07,94.0,The Last Five Years,http://www.imdb.com/title/tt2474024/,2014
