,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Film-Noir,Genre:  Comedy,Genre: Fantasy,Genre: War,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Animation,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: X,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: TV-13,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
0,Ron Howard,Lowell Ganz,Babaloo Mandel,Henry Winkler,Michael Keaton,Shelley Long,Henry Winkler,Michael Keaton,Shelley Long,Gina Hecht,,Ron Howard,23600000.0,6.5,nan,11996,,0,0,0,1,1982-07-30,106.0,Night Shift,1982-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,,,60325268.393782385,,
1,Mark Pellington,Albert Torres,Luke Wilson,Radha Mitchell,George Lopez,Luke Wilson,Radha Mitchell,Adriana Barraza,George Lopez,Cheryl Hines,,Mark Pellington,1836515.0,6.5,44.0,11433,,0,0,1,0,2008-01-21,99.0,Henry Poole Is Here,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000,,,2104126.8356022257,,
2,Marco Kreuzpaintner,Thomas Bahmann,Marco Kreuzpaintner,Robert Stadlober,Kostja Ullmann,Miriam Morgenstern,Robert Stadlober,Kostja Ullmann,Jürgen Tonkel,Miriam Morgenstern,,Marco Kreuzpaintner,95016.0,7.4,51.0,11977,,0,0,4,4,2004-09-02,98.0,Sommersturm,2004-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,124084.54094133672,,
3,Roman Polanski,Gérard Brach,Roman Polanski,Nastassja Kinski,Peter Firth,Leigh Lawson,John Collin,Tony Church,Nastassja Kinski,Brigid Erin Bates,,Roman Polanski,20093330.0,7.3,nan,12423,,0,3,14,13,1979-10-25,186.0,Tess,1979-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1970,,,68293511.78463659,,
4,Nacho Cerdà,Karim Hussain,Nacho Cerdà,Anastasia Hille,Karel Roden,Valentin Goshev,Anastasia Hille,Karel Roden,Valentin Ganev,Paraskeva Djukelova,,Nacho Cerd�,1255524.0,5.6,42.0,11573,,0,0,1,0,2006-09-11,99.0,The Abandoned,2006-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,1536268.1137850825,,
5,Terry Jones,Terry Jones,Tim Robbins,John Cleese,Mickey Rooney,Tim Robbins,Mickey Rooney,Eartha Kitt,Terry Jones,Imogen Stubbs,,Terry Jones,1932642.0,6.2,nan,11581,,0,0,0,0,1989-08-01,107.0,Erik the Viking,1989-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980,,,3845573.025301002,,
6,Henry Hathaway,Charles Brackett,Walter Reisch,Marilyn Monroe,Joseph Cotten,Jean Peters,Marilyn Monroe,Joseph Cotten,Jean Peters,Max Showalter,,Henry Hathaway,,7.1,nan,12257,,0,0,0,0,1953-01-21,92.0,Niagara,1953-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1950,,,,,
7,Barry Battles,Barry Battles,Griffin Hood,Billy Bob Thornton,Eva Longoria,Thomas Brodie-Sangster,Clayne Crawford,Travis Fimmel,Daniel Cudmore,Thomas Brodie-Sangster,,Barry Battles,,6.4,33.0,12134,,0,0,1,0,2012-08-29,98.0,The Baytown Outlaws,2012-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,,,
8,Darren Lynn Bousman,Darren Lynn Bousman,Timothy Gibbs,Michael Landes,Brendan Price,Timothy Gibbs,Michael Landes,Wendy Glenn,Benjamin Cook,Lolo Herrero,,Darren Lynn Bousman,,4.0,26.0,11440,,0,0,0,0,2011-11-01,90.0,11-11-11,2011-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010,,,,,
9,John Madden,Jeremy Brock,Judi Dench,Billy Connolly,Geoffrey Palmer,Judi Dench,Billy Connolly,Geoffrey Palmer,Antony Sher,Gerard Butler,,John Madden,4300000.0,7.3,71.0,11922,,2,0,23,12,1997-07-18,101.0,Mrs Brown,1997-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1990,,,6607891.391006564,,
