,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
0,Sacha Gervasi,John J. McLaughlin,Stephen Rebello,Anthony Hopkins,Helen Mirren,Scarlett Johansson,Anthony Hopkins,Helen Mirren,Scarlett Johansson,Danny Huston,,Sacha Gervasi,23570541.0,6.8,55.0,65023,,1,0,28,4,2012-11-01,98.0,Hitchcock,2012-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,,,25323592.91648138,,
1,Brian De Palma,Lowell Cannon,Jim Thomas,Tim Robbins,Gary Sinise,Don Cheadle,Gary Sinise,Tim Robbins,Don Cheadle,Connie Nielsen,,Brian De Palma,110983407.0,5.6,34.0,64226,,0,0,1,0,2000-03-06,114.0,Mission to Mars,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,158978896.75541812,,
2,Jon Lucas,Scott Moore,Jon Lucas,Scott Moore,Miles Teller,Justin Chon,Jonathan Keltz,Miles Teller,Skylar Astin,Justin Chon,,Jon Lucas Scott Moore,45582380.0,5.9,34.0,65585,,0,0,1,1,2013-02-28,93.0,21 & Over,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,48265371.17027856,,
3,Dennis Dugan,Steve Koren,Adam Sandler,Adam Sandler,Katie Holmes,Al Pacino,Adam Sandler,Al Pacino,Katie Holmes,Elodie Tougne,,Dennis Dugan,150519217.0,3.4,23.0,66092,,0,0,5,14,2011-11-11,91.0,Jack and Jill,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,,,165059848.32641867,,
4,Marc Forster,David Benioff,Ewan McGregor,Naomi Watts,Ryan Gosling,Ewan McGregor,Ryan Gosling,Kate Burton,Naomi Watts,Elizabeth Reaser,,Marc Forster,3626883.0,6.9,41.0,66495,,0,0,1,0,2005-09-24,99.0,Stay,2005-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,4581043.409810789,,
5,John Landis,Danilo Bach,Daniel Petrie Jr.,Eddie Murphy,Jon Tenney,Joey Travolta,Eddie Murphy,Jon Tenney,Joey Travolta,Eugene Collier,,John Landis,119204077.0,5.5,16.0,65941,,0,0,3,0,1994-05-25,104.0,Beverly Hills Cop III,1994-01-01,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,198373759.28158543,,
6,Ridley Scott,Danielle Alexandra,David Twohy,Demi Moore,Viggo Mortensen,Anne Bancroft,Demi Moore,Viggo Mortensen,Anne Bancroft,Jason Beghe,,Ridley Scott,97169156.0,5.9,62.0,65195,,0,0,3,2,1997-08-22,125.0,G.I. Jane,1997-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,149321681.2566916,,
7,Eric Darnell,Simon J. Smith,Michael Colton,John Aboud,Tom McGrath,Chris Miller,Christopher Knights,Tom McGrath,Chris Miller,Christopher Knights,,Simon J. Smith Eric Darnell,373543611.0,6.7,53.0,67601,,0,0,7,1,2014-11-08,92.0,Penguins of Madagascar,2014-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,,,389216528.5354306,,
8,Noah Baumbach,Noah Baumbach,Owen Kline,Jeff Daniels,Laura Linney,Owen Kline,Jeff Daniels,Laura Linney,Jesse Eisenberg,William Baldwin,,Noah Baumbach,7362100.0,7.4,82.0,66174,,1,0,47,23,2005-01-24,81.0,The Squid and the Whale,2005-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,9298921.329242771,,
9,Michael Lehmann,Daniel Waters,Winona Ryder,Christian Slater,Shannen Doherty,Winona Ryder,Christian Slater,Shannen Doherty,Lisanne Falk,Kim Walker,,Michael Lehmann,1108462.0,7.3,73.0,69092,,0,0,11,3,1988-10-01,103.0,Heathers,1988-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,,,2312084.108139549,,
10,Iain Softley,David Lindsay-Abaire,Cornelia Funke,Brendan Fraser,Andy Serkis,Eliza Bennett,Brendan Fraser,Sienna Guillory,Eliza Bennett,Richard Strange,,Iain Softley,57490374.0,6.1,nan,65429,,0,0,0,1,2008-12-11,106.0,Inkheart,2008-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,65867710.70326596,,
11,Bobcat Goldthwait,Bobcat Goldthwait,Joel Murray,Tara Lynne Barr,Mackenzie Brooke Smith,Joel Murray,Tara Lynne Barr,Melinda Page Hamilton,Mackenzie Brooke Smith,Rich McDonald,,Bobcat Goldthwait,105406.0,7.2,56.0,63812,,0,0,5,0,2011-09-09,105.0,God Bless America,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,115588.55220921383,,
12,David Gordon Green,Brian Gatewood,Alessandro Tanaka,Jonah Hill,Ari Graynor,Sam Rockwell,Jonah Hill,Max Records,Ari Graynor,J.B. Smoove,,David Gordon Green,30538669.0,5.7,39.0,63413,,0,0,2,0,2011-12-09,81.0,The Sitter,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,33488800.790338308,,
13,Clint Eastwood,Ken Kaufman,Howard Klausner,Clint Eastwood,Tommy Lee Jones,Donald Sutherland,Clint Eastwood,Tommy Lee Jones,Donald Sutherland,James Garner,,Clint Eastwood,128884132.0,6.4,73.0,64584,,1,0,7,4,2000-08-01,130.0,Space Cowboys,2000-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,184620905.66961676,,
14,Peter Webber,Tracy Chevalier,Olivia Hetreed,Scarlett Johansson,Colin Firth,Tom Wilkinson,Colin Firth,Scarlett Johansson,Tom Wilkinson,Judy Parfitt,,Peter Webber,11634362.0,7.0,72.0,64880,,3,0,41,17,2003-08-31,100.0,Girl with a Pearl Earring,2003-01-01,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,15600469.892809143,,
15,James Wan,Ian Mackenzie Jeffers,Brian Garfield,Kevin Bacon,John Goodman,Kelly Preston,Kevin Bacon,Garrett Hedlund,Kelly Preston,Jordan Garrett,,James Wan,9525276.0,6.8,36.0,63779,,0,0,3,0,2007-08-01,105.0,Death Sentence,2007-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,11331973.659899205,,
16,Paul Haggis,Paul Haggis,Mark Boal,Tommy Lee Jones,Charlize Theron,Jonathan Tucker,Tommy Lee Jones,Charlize Theron,Jason Patric,Susan Sarandon,,Paul Haggis,29527293.0,7.2,65.0,63415,,1,0,17,2,2007-09-01,121.0,In the Valley of Elah,2007-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,35127854.19804384,,
17,Carter Smith,Scott B. Smith,Scott B. Smith,Shawn Ashmore,Jena Malone,Jonathan Tucker,Jonathan Tucker,Jena Malone,Laura Ramsey,Shawn Ashmore,,Carter Smith,22728043.0,5.9,44.0,63184,,0,0,6,0,2008-04-02,90.0,The Ruins,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,26039909.936494567,,
18,Bill Paxton,Brent Hanley,Bill Paxton,Matthew McConaughey,Powers Boothe,Bill Paxton,Matthew McConaughey,Powers Boothe,Matt O'Leary,Jeremy Sumpter,,Bill Paxton,13103828.0,7.3,64.0,66688,,0,0,16,5,2001-11-17,100.0,Frailty,2001-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,18254752.343694516,,
19,John Hughes,John Hughes,Anthony Michael Hall,Ilan Mitchell-Smith,Kelly LeBrock,Anthony Michael Hall,Kelly LeBrock,Ilan Mitchell-Smith,Bill Paxton,Suzanne Snyder,,John Hughes,38934048.0,6.6,46.0,66621,,0,0,1,0,1985-08-02,94.0,Weird Science,1985-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1980,,,89282516.42208783,,
20,Peter R. Hunt,Simon Raven,Richard Maibaum,George Lazenby,Diana Rigg,Telly Savalas,George Lazenby,Diana Rigg,Telly Savalas,Gabriele Ferzetti,,Peter R. Hunt,59200000.0,6.8,61.0,66305,,0,0,3,1,1969-12-13,142.0,On Her Majesty's Secret Service,1969-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1960,,,398077368.5050502,,
21,Akiva Schaffer,Pam Brady,Andy Samberg,Isla Fisher,Ian McShane,Andy Samberg,Jorma Taccone,Bill Hader,Danny McBride,Isla Fisher,,Akiva Schaffer,13920741.0,6.7,43.0,65535,,0,0,1,1,2007-08-03,88.0,Hot Rod,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,16561144.300519893,,
22,Ken Scott,Ken Scott,Ken Scott,Vince Vaughn,Chris Pratt,Cobie Smulders,Vince Vaughn,Chris Pratt,Cobie Smulders,Andrzej Blumenfeld,,Ken Scott,70541159.0,6.4,44.0,66246,,0,0,0,0,2013-11-21,105.0,Delivery Man,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,,,74693230.6280768,,
23,Alan Parker,Roger Waters,Roger Waters,Bob Geldof,Christine Hargreaves,James Laurenson,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David,,Alan Parker,22244207.0,8.0,nan,65589,,0,0,1,1,1982-05-22,95.0,Pink Floyd: The Wall,1982-01-01,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,,,56859650.740756474,,
24,Brian Klugman,Lee Sternthal,Brian Klugman,Lee Sternthal,Bradley Cooper,Dennis Quaid,Olivia Wilde,Dennis Quaid,John Hannah,Jeremy Irons,,Lee Sternthal Brian Klugman,13231461.0,7.1,37.0,66006,,0,0,3,1,2012-01-27,102.0,The Words,2012-01-01,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,,,14215546.942868203,,
