,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: War,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre: Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: APPROVED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R
0,Joe Dante,Gary Brandner,John Sayles,Dee Wallace,Patrick Macnee,Dennis Dugan,Dee Wallace,Patrick Macnee,Dennis Dugan,Christopher Stone,1000000.0,Joe Dante,17986000.0,6.6,nan,25290,,0,0,2,2,1981-01-21,91.0,The Howling,1981-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Woody Allen,Woody Allen,Mickey Rose,Woody Allen,Janet Margolin,Marcel Hillaire,Woody Allen,Janet Margolin,Marcel Hillaire,Jacquelyn Hyde,1500000.0,Woody Allen,,7.3,67.0,24735,,0,0,3,0,1969-08-18,85.0,Take the Money and Run,1969-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Pedro Almodóvar,Pedro Almodóvar,Jorge Guerricaechevarría,Liberto Rabal,Francesca Neri,Javier Bardem,Javier Bardem,Francesca Neri,Liberto Rabal,Ángela Molina,,Pedro Almod�var,1535558.0,7.4,69.0,24614,,0,0,13,11,1997-10-10,103.0,Carne tr�mula,1997-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Steve Shill,David Loughery,Beyoncé,Idris Elba,Ali Larter,Idris Elba,Beyoncé,Ali Larter,Jerry O'Connell,Bonnie Perlman,20000000.0,Steve Shill,73830340.0,4.9,25.0,25011,,0,0,8,4,2009-04-23,108.0,Obsessed,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,J. Lee Thompson,Pierre Boulle,Paul Dehn,Roddy McDowall,Claude Akins,Natalie Trundy,Roddy McDowall,Claude Akins,Natalie Trundy,Severn Darden,1800000.0,J. Lee Thompson,8800000.0,5.5,40.0,25270,,0,0,1,0,1973-06-15,93.0,Battle for the Planet of the Apes,1973-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Álex de la Iglesia,Álex de la Iglesia,Jorge Guerricaechevarría,Elijah Wood,John Hurt,Leonor Watling,Elijah Wood,John Hurt,Leonor Watling,Julie Cox,,�lex de la Iglesia,,6.1,nan,24608,,0,0,5,6,2008-01-17,104.0,The Oxford Murders,2008-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Brett Ratner,Joel Cohen,Alec Sokolow,Charlie Sheen,Chris Tucker,Heather Locklear,Chris Tucker,Charlie Sheen,Heather Locklear,Elise Neal,25000000.0,Brett Ratner,41067398.0,6.2,nan,24148,,0,0,1,0,1997-08-22,97.0,Money Talks,1997-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Michael Apted,Mark Handley,William Nicholson,Jodie Foster,Liam Neeson,Natasha Richardson,Jodie Foster,Liam Neeson,Natasha Richardson,Richard Libertini,31000000.0,Michael Apted,106683817.0,6.5,nan,24321,,1,0,5,5,1994-12-14,112.0,Nell,1994-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Emilio Estevez,Emilio Estevez,Jack Hitt,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Yorick van Wageningen,,Emilio Estevez,9158000.0,7.4,64.0,25667,193552.0,0,0,8,1,2010-09-10,123.0,The Way,2010-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Brian Levant,Steven Gary Banks,Claudia Grazioso,Ice Cube,Nia Long,Aleisha Allen,Ice Cube,Nia Long,Aleisha Allen,Philip Bolden,32000000.0,Brian Levant,97918663.0,4.6,27.0,24939,,0,0,8,1,2005-01-21,95.0,Are We There Yet?,2005-01-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
