,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
4001,Joe Dante,Gary Brandner,John Sayles,Dee Wallace,Patrick Macnee,Dennis Dugan,Dee Wallace,Patrick Macnee,Dennis Dugan,Christopher Stone,"$1,000,000",R,Joe Dante,Horror,"$17,986,000",6.6,,25290,,0,0,2,2,1981-01-21,91.0,The Howling,http://www.imdb.com/title/tt0082533/,1981
4002,Woody Allen,Woody Allen,Mickey Rose,Woody Allen,Janet Margolin,Marcel Hillaire,Woody Allen,Janet Margolin,Marcel Hillaire,Jacquelyn Hyde,"$1,500,000",M,Woody Allen,"Comedy, Crime",,7.3,67.0,24735,,0,0,3,0,1969-08-18,85.0,Take the Money and Run,http://www.imdb.com/title/tt0065063/,1969
4003,Pedro Almodóvar,Pedro Almodóvar,Jorge Guerricaechevarría,Liberto Rabal,Francesca Neri,Javier Bardem,Javier Bardem,Francesca Neri,Liberto Rabal,Ángela Molina,,R,Pedro Almod�var,Drama,"$1,535,558,",7.4,69.0,24614,,0,0,13,11,1997-10-10,103.0,Carne tr�mula,http://www.imdb.com/title/tt0118819/,1997
4004,Steve Shill,David Loughery,Beyoncé,Idris Elba,Ali Larter,Idris Elba,Beyoncé,Ali Larter,Jerry O'Connell,Bonnie Perlman,"$20,000,000",PG-13,Steve Shill,"Drama, Romance, Thriller","$73,830,340",4.9,25.0,25011,,0,0,8,4,2009-04-23,108.0,Obsessed,http://www.imdb.com/title/tt1198138/,2009
4005,J. Lee Thompson,Pierre Boulle,Paul Dehn,Roddy McDowall,Claude Akins,Natalie Trundy,Roddy McDowall,Claude Akins,Natalie Trundy,Severn Darden,"$1,800,000",G,J. Lee Thompson,"Action, Sci-Fi","$8,800,000",5.5,40.0,25270,,0,0,1,0,1973-06-15,93.0,Battle for the Planet of the Apes,http://www.imdb.com/title/tt0069768/,1973
4006,Álex de la Iglesia,Álex de la Iglesia,Jorge Guerricaechevarría,Elijah Wood,John Hurt,Leonor Watling,Elijah Wood,John Hurt,Leonor Watling,Julie Cox,,R,�lex de la Iglesia,"Crime, Mystery, Thriller",,6.1,,24608,,0,0,5,6,2008-01-17,104.0,The Oxford Murders,http://www.imdb.com/title/tt0488604/,2008
4007,Brett Ratner,Joel Cohen,Alec Sokolow,Charlie Sheen,Chris Tucker,Heather Locklear,Chris Tucker,Charlie Sheen,Heather Locklear,Elise Neal,"$25,000,000",R,Brett Ratner,"Action, Comedy, Crime, Thriller","$41,067,398,",6.2,,24148,,0,0,1,0,1997-08-22,97.0,Money Talks,http://www.imdb.com/title/tt0119695/,1997
4008,Michael Apted,Mark Handley,William Nicholson,Jodie Foster,Liam Neeson,Natasha Richardson,Jodie Foster,Liam Neeson,Natasha Richardson,Richard Libertini,"$31,000,000",PG-13,Michael Apted,Drama,"$106,683,817",6.5,,24321,,1,0,5,5,1994-12-14,112.0,Nell,http://www.imdb.com/title/tt0110638/,1994
4009,Emilio Estevez,Emilio Estevez,Jack Hitt,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Yorick van Wageningen,,PG-13,Emilio Estevez,"Adventure, Comedy, Drama","$9,158,000,",7.4,64.0,25667,"$193,552 (Spain),",0,0,8,1,2010-09-10,123.0,The Way,http://www.imdb.com/title/tt1441912/,2010
4010,Brian Levant,Steven Gary Banks,Claudia Grazioso,Ice Cube,Nia Long,Aleisha Allen,Ice Cube,Nia Long,Aleisha Allen,Philip Bolden,"$32,000,000",PG,Brian Levant,"Adventure, Comedy, Family, Romance","$97,918,663",4.6,27.0,24939,,0,0,8,1,2005-01-21,95.0,Are We There Yet?,http://www.imdb.com/title/tt0368578/,2005
