iter	Passed	Remaining
0	36	18320
1	44	11078
2	80	13416
3	91	11360
4	127	12638
5	164	13558
6	202	14231
7	238	14652
8	275	15038
9	313	15340
10	353	15694
11	391	15921
12	428	16034
13	465	16150
14	502	16236
15	538	16299
16	574	16323
17	612	16391
18	648	16428
19	685	16440
20	689	15736
21	724	15748
22	762	15818
23	803	15934
24	839	15954
25	855	15604
26	873	15302
27	910	15356
28	950	15432
29	990	15523
30	1001	15152
31	1039	15208
32	1079	15271
33	1096	15028
34	1135	15092
35	1147	14789
36	1164	14565
37	1200	14592
38	1238	14636
39	1274	14655
40	1311	14684
41	1349	14714
42	1387	14746
43	1427	14793
44	1432	14484
45	1470	14509
46	1507	14532
47	1512	14244
48	1549	14263
49	1585	14265
50	1621	14274
51	1637	14109
52	1643	13858
53	1681	13888
54	1717	13897
55	1732	13739
56	1771	13766
57	1778	13552
58	1814	13562
59	1852	13582
60	1888	13594
61	1895	13388
62	1931	13395
63	1968	13411
64	2005	13423
65	2023	13306
66	2061	13319
67	2098	13332
68	2134	13333
69	2171	13336
70	2181	13182
71	2218	13184
72	2255	13194
73	2292	13196
74	2329	13200
75	2364	13189
76	2402	13200
77	2440	13203
78	2476	13197
79	2514	13198
80	2551	13200
81	2589	13199
82	2625	13189
83	2661	13181
84	2699	13177
85	2734	13164
86	2773	13164
87	2811	13164
88	2848	13154
89	2886	13147
90	2922	13135
91	2956	13112
92	2994	13104
93	3031	13095
94	3069	13086
95	3107	13075
96	3144	13064
97	3181	13052
98	3219	13041
99	3256	13024
100	3294	13013
101	3330	12995
102	3369	12985
103	3405	12967
104	3444	12957
105	3482	12942
106	3520	12928
107	3557	12911
108	3594	12894
109	3632	12880
110	3671	12865
111	3708	12846
112	3747	12833
113	3783	12810
114	3822	12797
115	3858	12774
116	3897	12758
117	3933	12734
118	3972	12719
119	4010	12699
120	4048	12680
121	4086	12661
122	4125	12643
123	4163	12624
124	4201	12604
125	4240	12587
126	4276	12560
127	4315	12540
128	4353	12520
129	4389	12493
130	4428	12474
131	4467	12455
132	4504	12429
133	4542	12407
134	4580	12384
135	4616	12356
136	4653	12329
137	4691	12306
138	4728	12280
139	4767	12258
140	4805	12234
141	4843	12211
142	4881	12185
143	4917	12158
144	4954	12130
145	4991	12101
146	5027	12072
147	5065	12048
148	5104	12025
149	5140	11993
150	5179	11971
151	5218	11947
152	5256	11921
153	5294	11895
154	5332	11869
155	5372	11848
156	5409	11817
157	5445	11787
158	5482	11757
159	5518	11726
160	5556	11698
161	5591	11666
162	5631	11642
163	5671	11619
164	5709	11591
165	5745	11560
166	5783	11532
167	5821	11504
168	5858	11473
169	5896	11446
170	5935	11419
171	5974	11393
172	6010	11360
173	6048	11331
174	6084	11299
175	6121	11268
176	6160	11241
177	6198	11213
178	6236	11183
179	6274	11154
180	6310	11121
181	6348	11091
182	6384	11060
183	6423	11031
184	6460	11001
185	6497	10969
186	6535	10938
187	6572	10906
188	6610	10876
189	6646	10844
190	6684	10813
191	6722	10784
192	6761	10755
193	6799	10725
194	6837	10694
195	6876	10665
196	6914	10634
197	6951	10603
198	6989	10572
199	7026	10539
200	7064	10508
201	7101	10476
202	7137	10443
203	7175	10411
204	7212	10379
205	7250	10347
206	7288	10316
207	7325	10284
208	7363	10252
209	7401	10221
210	7438	10187
211	7474	10154
212	7513	10124
213	7551	10092
214	7589	10060
215	7627	10028
216	7666	9998
217	7704	9966
218	7742	9934
219	7779	9900
220	7817	9868
221	7853	9834
222	7891	9802
223	7929	9770
224	7968	9739
225	8004	9704
226	8042	9672
227	8082	9642
228	8119	9608
229	8156	9574
230	8193	9541
231	8231	9509
232	8268	9474
233	8308	9444
234	8346	9412
235	8383	9378
236	8421	9345
237	8460	9313
238	8496	9278
239	8534	9245
240	8571	9211
241	8609	9178
242	8647	9146
243	8685	9113
244	8725	9081
245	8761	9045
246	8798	9012
247	8838	8980
248	8875	8947
249	8913	8913
250	8950	8879
251	8988	8845
252	9025	8811
253	9063	8777
254	9100	8743
255	9138	8709
256	9176	8676
257	9214	8642
258	9252	8609
259	9288	8573
260	9325	8539
261	9363	8505
262	9401	8471
263	9437	8436
264	9475	8403
265	9515	8371
266	9553	8336
267	9591	8303
268	9629	8269
269	9667	8235
270	9705	8201
271	9744	8167
272	9780	8132
273	9818	8098
274	9857	8065
275	9893	8029
276	9930	7994
277	9968	7960
278	10006	7926
279	10042	7890
280	10081	7856
281	10119	7823
282	10156	7787
283	10193	7752
284	10230	7718
285	10268	7683
286	10306	7648
287	10342	7613
288	10381	7579
289	10418	7544
290	10456	7509
291	10492	7474
292	10531	7440
293	10569	7405
294	10606	7370
295	10647	7337
296	10682	7301
297	10719	7266
298	10755	7229
299	10793	7195
300	10831	7161
301	10867	7125
302	10905	7090
303	10943	7055
304	10983	7021
305	11021	6987
306	11059	6952
307	11097	6917
308	11134	6882
309	11173	6848
310	11210	6812
311	11248	6777
312	11286	6743
313	11323	6707
314	11359	6671
315	11396	6636
316	11435	6601
317	11473	6566
318	11510	6530
319	11547	6495
320	11586	6460
321	11622	6424
322	11660	6389
323	11697	6354
324	11733	6318
325	11772	6283
326	11809	6247
327	11847	6212
328	11885	6177
329	11924	6142
330	11962	6107
331	11998	6071
332	12035	6035
333	12072	6000
334	12109	5964
335	12147	5928
336	12184	5893
337	12220	5857
338	12259	5822
339	12297	5786
340	12335	5751
341	12372	5716
342	12410	5680
343	12447	5644
344	12486	5609
345	12524	5574
346	12561	5538
347	12599	5503
348	12636	5467
349	12673	5431
350	12712	5396
351	12749	5360
352	12788	5325
353	12825	5289
354	12862	5253
355	12900	5218
356	12938	5182
357	12975	5146
358	13012	5110
359	13049	5074
360	13086	5038
361	13124	5003
362	13160	4967
363	13198	4931
364	13235	4895
365	13274	4860
366	13311	4824
367	13350	4788
368	13388	4752
369	13426	4717
370	13463	4681
371	13502	4645
372	13540	4610
373	13578	4574
374	13615	4538
375	13654	4503
376	13692	4467
377	13731	4431
378	13769	4396
379	13808	4360
380	13846	4324
381	13884	4289
382	13921	4252
383	13958	4216
384	13997	4180
385	14034	4144
386	14071	4108
387	14109	4072
388	14146	4036
389	14184	4000
390	14221	3964
391	14259	3928
392	14296	3892
393	14334	3856
394	14371	3820
395	14408	3784
396	14445	3747
397	14484	3712
398	14521	3675
399	14559	3639
400	14597	3603
401	14634	3567
402	14672	3531
403	14709	3495
404	14746	3458
405	14791	3424
406	14829	3388
407	14867	3352
408	14906	3316
409	14944	3280
410	14981	3244
411	15020	3208
412	15059	3172
413	15098	3136
414	15136	3100
415	15175	3064
416	15211	3027
417	15249	2991
418	15287	2955
419	15323	2918
420	15360	2882
421	15397	2846
422	15433	2809
423	15472	2773
424	15509	2737
425	15545	2700
426	15582	2664
427	15618	2627
428	15658	2591
429	15699	2555
430	15734	2518
431	15771	2482
432	15807	2445
433	15845	2409
434	15884	2373
435	15920	2336
436	15957	2300
437	15995	2264
438	16032	2227
439	16071	2191
440	16109	2155
441	16147	2118
442	16183	2082
443	16222	2046
444	16260	2009
445	16298	1973
446	16337	1937
447	16375	1900
448	16413	1864
449	16449	1827
450	16486	1791
451	16524	1754
452	16561	1718
453	16600	1681
454	16636	1645
455	16674	1608
456	16712	1572
457	16749	1535
458	16787	1499
459	16825	1463
460	16863	1426
461	16902	1390
462	16940	1353
463	16979	1317
464	17017	1280
465	17055	1244
466	17093	1207
467	17129	1171
468	17167	1134
469	17205	1098
470	17243	1061
471	17281	1025
472	17319	988
473	17357	952
474	17394	915
475	17432	878
476	17471	842
477	17510	805
478	17548	769
479	17587	732
480	17626	696
481	17665	659
482	17703	623
483	17740	586
484	17779	549
485	17818	513
486	17856	476
487	17894	440
488	17932	403
489	17969	366
490	18008	330
491	18045	293
492	18083	256
493	18121	220
494	18158	183
495	18197	146
496	18234	110
497	18273	73
498	18312	36
499	18349	0
